record_id,timestamp,source,region,category,unit_price,quantity,revenue,customer_rating,returned
TX100270,2026-05-01 05:55:00,mobile_app_android,APAC,Toys,39.96,2,79.92,5,1
TX101336,2026-05-01 05:59:00,social_instagram_ads,North America,Home & Kitchen,104.67,5,523.35,5,0
TX100114,2026-05-01 11:19:00,affiliate_network,LATAM,Books,20.16,2,40.31,4,0
TX100051,2026-05-01 12:16:00,web_store_us,LATAM,Apparel,30.43,2,60.86,4,0
TX100955,2026-05-01 12:41:00,web_store_us,MEA,Home & Kitchen,71.84,4,287.36,5,0
TX100656,2026-05-01 13:01:00,mobile_app_ios,Europe,Beauty,19.15,1,19.15,5,0
TX101309,2026-05-01 16:45:00,marketplace_amazon,MEA,Books,17.79,4,71.17,4,0
TX100848,2026-05-01 16:47:00,social_tiktok_ads,LATAM,Apparel,34.84,3,104.53,5,0
TX101030,2026-05-01 16:52:00,web_store_apac,North America,Sports,44.56,1,44.56,4,0
TX100989,2026-05-01 17:02:00,web_store_eu,MEA,Grocery,21.37,3,64.1,4,0
TX101341,2026-05-01 17:15:00,mobile_app_android,LATAM,Toys,23.75,2,47.51,4,0
TX100338,2026-05-01 19:22:00,web_store_apac,LATAM,Sports,48.96,1,48.96,3,0
TX100568,2026-05-01 22:13:00,affiliate_network,LATAM,Books,23.11,1,23.11,3,0
TX101256,2026-05-02 02:41:00,mobile_app_android,Europe,Apparel,34.04,1,34.04,4,0
TX100072,2026-05-02 03:04:00,retail_pos_partners,MEA,Books,22.65,1,22.65,3,1
TX100401,2026-05-02 03:27:00,social_instagram_ads,MEA,Sports,57.64,1,57.64,4,0
TX100142,2026-05-02 16:12:00,mobile_app_android,MEA,Sports,29.69,1,29.69,3,0
TX101292,2026-05-02 21:00:00,web_store_apac,MEA,Toys,27.05,1,27.05,4,1
TX100995,2026-05-02 21:13:00,social_instagram_ads,North America,Toys,25.12,1,25.12,5,0
TX100639,2026-05-02 22:08:00,retail_pos_partners,North America,Apparel,67.17,1,67.17,4,0
TX101275,2026-05-02 23:07:00,mobile_app_android,APAC,Sports,47.9,2,95.79,3,0
TX100442,2026-05-02 23:21:00,social_instagram_ads,Europe,Sports,43.58,3,130.74,5,0
TX100506,2026-05-03 00:34:00,email_campaigns,LATAM,Grocery,29.68,3,89.04,4,0
TX100030,2026-05-03 03:59:00,web_store_us,LATAM,Toys,36.1,3,108.3,3,0
TX100796,2026-05-03 07:14:00,mobile_app_ios,LATAM,Apparel,42.27,1,42.27,3,0
TX100496,2026-05-03 08:35:00,affiliate_network,Europe,Beauty,34.01,1,34.01,4,0
TX100893,2026-05-03 12:43:00,marketplace_etsy,APAC,Books,18.25,2,36.5,4,0
TX101008,2026-05-03 13:07:00,social_tiktok_ads,APAC,Sports,62.65,2,125.29,4,0
TX100417,2026-05-03 14:20:00,web_store_us,Europe,Home & Kitchen,55.84,1,55.84,4,0
TX101092,2026-05-03 16:08:00,web_store_us,MEA,Sports,66.78,1,66.78,4,0
TX100507,2026-05-03 16:46:00,social_tiktok_ads,North America,Books,24.32,1,24.32,5,0
TX100037,2026-05-03 18:35:00,mobile_app_ios,APAC,Home & Kitchen,62.98,4,251.93,5,0
TX100215,2026-05-03 21:25:00,marketplace_amazon,APAC,Sports,70.2,2,140.4,5,0
TX100532,2026-05-04 02:22:00,social_tiktok_ads,North America,Books,19.54,1,19.54,4,0
TX100759,2026-05-04 12:03:00,retail_pos_partners,APAC,Home & Kitchen,89.68,4,358.72,5,0
TX101406,2026-05-04 12:39:00,email_campaigns,APAC,Home & Kitchen,36.23,2,72.47,3,0
TX100558,2026-05-04 15:06:00,email_campaigns,APAC,Apparel,39.94,1,39.94,5,0
TX101295,2026-05-04 19:05:00,mobile_app_android,North America,Beauty,16.94,1,16.94,4,0
TX100230,2026-05-04 19:56:00,web_store_eu,LATAM,Beauty,36.05,2,72.09,4,0
TX100524,2026-05-04 20:17:00,affiliate_network,APAC,Books,23.35,2,46.71,5,0
TX100082,2026-05-04 21:12:00,mobile_app_android,Europe,Beauty,24.59,3,73.78,5,0
TX101442,2026-05-04 23:52:00,marketplace_amazon,APAC,Apparel,54.18,2,108.36,3,0
TX100890,2026-05-05 02:04:00,web_store_us,APAC,Grocery,20.81,3,62.44,5,0
TX100502,2026-05-05 02:52:00,web_store_apac,MEA,Electronics,151.01,1,151.01,3,0
TX100408,2026-05-05 04:45:00,social_tiktok_ads,North America,Electronics,274.38,2,548.75,3,0
TX101318,2026-05-05 06:01:00,retail_pos_partners,Europe,Beauty,30.89,1,30.89,4,0
TX100165,2026-05-05 07:18:00,affiliate_network,APAC,Grocery,18.63,6,111.78,4,0
TX100583,2026-05-05 08:14:00,web_store_us,APAC,Beauty,19.97,4,79.87,4,0
TX100347,2026-05-05 09:12:00,web_store_apac,LATAM,Home & Kitchen,62.87,1,62.87,4,0
TX100331,2026-05-05 09:58:00,marketplace_amazon,Europe,Apparel,49.82,2,99.64,5,0
TX100073,2026-05-05 11:37:00,retail_pos_partners,MEA,Apparel,23.48,2,46.96,4,0
TX100862,2026-05-05 11:52:00,mobile_app_android,MEA,Beauty,33.95,2,67.9,4,0
TX101095,2026-05-05 14:22:00,social_tiktok_ads,North America,Apparel,44.44,4,177.74,3,1
TX100993,2026-05-05 16:22:00,marketplace_etsy,MEA,Grocery,25.55,2,51.1,4,0
TX100221,2026-05-05 18:23:00,web_store_us,LATAM,Sports,69.98,3,209.95,5,0
TX100970,2026-05-05 19:32:00,social_tiktok_ads,Europe,Sports,59.3,1,59.3,5,0
TX100349,2026-05-05 20:12:00,marketplace_etsy,APAC,Grocery,23.14,2,46.27,5,0
TX100385,2026-05-06 00:05:00,email_campaigns,MEA,Toys,28.84,3,86.51,5,0
TX100070,2026-05-06 00:21:00,email_campaigns,APAC,Books,18.11,3,54.33,5,0
TX100153,2026-05-06 01:35:00,social_tiktok_ads,APAC,Apparel,46.08,1,46.08,4,0
TX100517,2026-05-06 02:43:00,mobile_app_ios,APAC,Grocery,25.74,6,154.41,4,0
TX100873,2026-05-06 04:59:00,marketplace_amazon,Europe,Grocery,29.41,4,117.63,3,0
TX100670,2026-05-06 06:53:00,web_store_apac,MEA,Sports,39.69,2,79.38,5,0
TX101116,2026-05-06 07:12:00,social_instagram_ads,LATAM,Apparel,43.37,2,86.74,4,0
TX101193,2026-05-06 10:22:00,affiliate_network,LATAM,Books,17.48,1,17.48,4,0
TX100195,2026-05-06 10:47:00,marketplace_etsy,LATAM,Beauty,37.22,3,111.67,4,0
TX100319,2026-05-06 13:23:00,retail_pos_partners,LATAM,Apparel,40.59,4,162.37,4,0
TX100172,2026-05-06 13:47:00,social_instagram_ads,MEA,Home & Kitchen,68.11,2,136.21,4,0
TX100647,2026-05-06 15:23:00,web_store_us,Europe,Electronics,121.18,1,121.18,5,0
TX100808,2026-05-06 17:31:00,marketplace_etsy,Europe,Sports,48.42,2,96.83,4,0
TX100927,2026-05-06 20:20:00,social_instagram_ads,North America,Grocery,0.49340000000000006,2,49.35,3,1
TX100088,2026-05-06 22:27:00,marketplace_etsy,APAC,Beauty,31.6,1,31.6,5,0
TX101080,2026-05-06 23:04:00,affiliate_network,MEA,Sports,69.5,3,208.51,4,0
TX100250,2026-05-06 23:50:00,social_instagram_ads,MEA,Beauty,27.82,2,55.65,5,0
TX100866,2026-05-07 00:47:00,marketplace_etsy,MEA,Toys,33.16,2,66.31,4,0
TX101381,2026-05-07 02:23:00,mobile_app_android,APAC,Books,9.32,3,27.96,5,0
TX100718,2026-05-07 03:21:00,affiliate_network,Europe,Books,12.45,2,24.9,3,0
TX100431,2026-05-07 03:26:00,social_tiktok_ads,Europe,Beauty,39.32,1,39.32,4,0
TX100813,2026-05-07 03:52:00,mobile_app_android,LATAM,Sports,43.22,1,43.22,3,0
TX101103,2026-05-07 09:33:00,mobile_app_ios,LATAM,Electronics,180.0,3,539.99,5,0
TX100831,2026-05-07 16:14:00,mobile_app_ios,APAC,Toys,24.41,2,48.82,4,0
TX100306,2026-05-07 20:41:00,marketplace_etsy,MEA,Toys,19.15,4,76.62,4,1
TX101272,2026-05-07 21:18:00,social_instagram_ads,MEA,Apparel,50.64,1,50.64,4,0
TX101105,2026-05-07 21:46:00,social_tiktok_ads,Europe,Beauty,20.41,4,81.64,4,0
TX100430,2026-05-07 21:57:00,web_store_eu,Europe,Beauty,29.5,3,88.49,4,0
TX100279,2026-05-08 00:13:00,mobile_app_ios,MEA,Books,17.06,2,34.12,4,0
TX100054,2026-05-08 01:37:00,web_store_us,APAC,Electronics,337.32,4,1349.27,3,0
TX101186,2026-05-08 03:36:00,retail_pos_partners,MEA,Beauty,25.83,1,25.83,3,1
TX100659,2026-05-08 04:45:00,mobile_app_ios,LATAM,Books,23.59,3,70.76,5,0
TX100968,2026-05-08 05:40:00,social_tiktok_ads,MEA,Sports,96.45,1,96.45,5,0
TX100112,2026-05-08 06:53:00,social_tiktok_ads,LATAM,Grocery,27.31,1,27.31,4,0
TX100031,2026-05-08 07:56:00,marketplace_amazon,Europe,Sports,35.2,5,176.0,5,0
